state.lastseen,missing.date,tattoo,scar,color.eyes,color.hair,weight.from,weight.to,height.from,height.to,gender,race,age.from,age.to,id
California,1961-08-21,FALSE,TRUE,brown,brown,65.75750000000001,72.1065,185.42,185.42,male,white,15,15,1D
Florida,2008-02-20,TRUE,FALSE,brown,blonde,54.42,54.42,160.02,160.02,female,white,29,29,2D
New Jersey,1991-11-25,FALSE,FALSE,blue,red,38.5475,38.5475,137.16,137.16,male,white,11,11,3D
Texas,2003-10-01,FALSE,TRUE,brown,black,49.885000000000005,49.885000000000005,165.1,165.1,female,hispanic,16,16,4D
Minnesota,1974-06-15,FALSE,FALSE,blue,blonde,49.885000000000005,49.885000000000005,165.1,165.1,female,white,17,17,5D
Wisconsin,2004-11-08,FALSE,TRUE,hazel,brown,54.42,56.6875,167.64000000000001,167.64000000000001,male,white,27,27,6D
Minnesota,1983-07-14,FALSE,FALSE,brown,brown,57.594500000000004,57.594500000000004,165.1,165.1,male,white,40,40,7D
Missouri,2000-06-09,FALSE,TRUE,hazel,gray,81.63,83.89750000000001,182.88,182.88,male,white,56,56,8D
Wisconsin,2006-07-10,FALSE,TRUE,brown,black,56.6875,58.955,160.02,160.02,male,black,29,29,9D
Texas,1990-01-24,FALSE,TRUE,blue,gray,66.211,66.211,187.96,187.96,male,white,65,65,10D
California,2013-05-21,FALSE,FALSE,brown,brown,54.42,54.42,165.1,165.1,male,other,19,19,11D
Texas,2006-10-26,TRUE,FALSE,brown,brown,43.0825,47.6175,139.7,139.7,female,white,18,18,12D
California,1990-06-01,FALSE,FALSE,blue,gray,72.56,72.56,182.88,182.88,male,white,82,82,13D
Florida,2016-06-18,FALSE,TRUE,brown,black,70.2925,70.2925,190.5,190.5,male,white,21,21,14D
Arizona,1995-08-19,TRUE,TRUE,brown,black,81.63,86.165,154.94,154.94,male,other,22,22,15D
New Jersey,1981-10-12,FALSE,TRUE,hazel,brown,68.025,68.025,154.94,154.94,male,white,18,18,16D
Austria,2013-08-01,FALSE,FALSE,green,brown,87.979,87.979,187.96,187.96,male,white,29,29,17D
